id,Shares
29733,2138180.5470548323
29734,4552013.053438841
29735,3714.644462685976
29736,5851881.628169397
29737,1395696.1191796444
29738,850919.4503607835
29739,11791643.681932408
29740,6037159.093234367
29741,1609529.3194733514
29742,860093.2285800305
29743,2417076.1000768733
29744,5665372.600356214
29745,1720309.8369364575
29746,5201239.893223967
29747,1349911.181204041
29748,3672.9950370875986
29749,1442167.4361759226
29750,3487.085702890637
29751,1024704.8645274354
29752,3932.7580639395446
29753,3809070.9111765414
29754,2974374.5039726626
29755,13184352.846151717
29756,3406.6515661441877
29757,2509804.741260939
29758,889446.6568913287
29759,14112900.83287845
29760,1331672.8161080698
29761,10353574.691070499
29762,32462486.054745097
29763,4013.2068546846613
29764,1117608.8471506617
29765,3931.1931729254056
29766,3383.6758042760234
29767,6768528.4173408775
29768,2300815.1534595108
29769,3072.1319868293995
29770,19217242.637241382
29771,5295122.151390351
29772,1884539.9695400812
29773,5788998.9027613895
29774,2231740.8582653953
29775,7739834.054826027
29776,2816.738208792041
29777,4069.125045158793
29778,1395909.7969201852
29779,4829695.03090291
29780,1674613.1103198733
29781,3345344.460878965
29782,3524818.069443315
29783,10075775.93142418
29784,2381587.465455741
29785,4366005.959059964
29786,8636409.635351244
29787,893680.7742347418
29788,3740.9625094269263
29789,1599250.593207331
29790,8775191.063081637
29791,3532.313707909787
29792,2138881.902736053
29793,9007905.71415047
29794,488036.262332697
29795,49291590.81578387
29796,2045830.8471869973
29797,238870.00362430993
29798,2437023.4762056917
29799,1605442.1346681518
29800,51612224.94206393
29801,2185676.741805517
29802,3965.885988692353
29803,5109038.5657567205
29804,1705732.9117329984
29805,531473.5301891008
29806,3328.045064650375
29807,2742017.4740038
29808,2881436.033285082
29809,3970.7859120589246
29810,3048.4980258860382
29811,3963827.0548067233
29812,1628067.7449684758
29813,11791893.502277942
29814,1210178.1375383919
29815,9068902.66526886
29816,1117778.046177277
29817,2974597.646200815
29818,4111.030904598018
29819,3918.7297395785945
29820,1290979.398821122
29821,4858.712729943001
29822,3897.598422677454
29823,16154595.88403351
29824,3030438.6922809538
29825,21770394.516660467
29826,16897785.844933607
29827,2045213.9902081313
29828,618026.8953280309
29829,3859.0615988474647
29830,3717.8866746752806
29831,3418.1060394175174
29832,739648.8101237614
29833,6346302.467797176
29834,485690.4845797627
29835,1860457.1142266274
29836,5276367.698812385
29837,932512.5010227839
29838,4543.823751280743
29839,1559966.9925319774
29840,2602453.111070219
29841,3420.1057501495543
29842,3716647.084572487
29843,2860.5871535023475
29844,4225313.655041713
29845,3613.90944758874
29846,891951.1466107354
29847,1811339.3382224517
29848,2788731.8082438973
29849,16062366.973418722
29850,4750.85599904726
29851,4456.516596637421
29852,888796.7568248296
29853,4551677.74273006
29854,1860174.9868929572
29855,3518.7795247626236
29856,3406861.4954118654
29857,22002301.241966948
29858,6825657.551973577
29859,1488687.1706230978
29860,14855075.825809047
29861,7074007.69250554
29862,2231467.4656568677
29863,3629.6946304258936
29864,3252736.322386376
29865,3199.1976058315586
29866,5257.684655772437
29867,3809360.4868712393
29868,2058935.0998345767
29869,3252375.8352251602
29870,1890959.1046008328
29871,3331.083421802965
29872,8821765.926183682
29873,1860254.739231496
29874,5852035.156147294
29875,3067022.5795137836
29876,5016580.494148019
29877,1349143.3691607362
29878,3674.930507983897
29879,7800647.076184001
29880,3438302.6145934607
29881,2138447.6028037323
29882,3635.422481962044
29883,905018.1810724152
29884,893410.6029322601
29885,1117296.3309819677
29886,3545729.879672592
29887,4227.2106421955705
29888,3746.8639330037813
29889,1210089.38606531
29890,2324321.4066294623
29891,762315.5722235912
29892,7151225.257529087
29893,3624009.251887611
29894,2231435.847919805
29895,1860107.5867064425
29896,460581.02064010693
29897,4188.182250897981
29898,1017939.7566412527
29899,3655.8396043239286
29900,3537.6492572911066
29901,4690.9074224259575
29902,12348836.573687462
29903,3595.588316234319
29904,3433.905371711264
29905,5542304.343808831
29906,7517866.649837546
29907,89018598.91872051
29908,910953.3471735333
29909,20702541.362072833
29910,5062594.886879715
29911,3211.0642522461326
29912,1441688.727050574
29913,1534909.9437486252
29914,9502318.781697912
29915,1673863.6518693771
29916,3896.0332527675287
29917,2087811.998385612
29918,2710415.9260751945
29919,928098.5220417004
29920,3887.50170644472
29921,4830104.100667878
29922,1117532.7454602856
29923,2370924.7457544464
29924,1720930.3573724746
29925,10585200.060183357
29926,3252622.119354997
29927,12905778.968465025
29928,3902350.9733900907
29929,1823104.0955116875
29930,2275728.711511193
29931,3010.064804694687
29932,2695368.693598335
29933,918815.977422559
29934,5434048.174619155
29935,630542.7787058066
29936,1488515.4089042433
29937,626140.987803224
29938,4669.260522246316
29939,1582295.4503713488
29940,1581421.0241092872
29941,9868815.261571538
29942,907150.0133987925
29943,352238.6131761823
29944,4070.733697044581
29945,1395918.375758336
29946,2509959.1310532875
29947,1442450.256063514
29948,2046080.3389280774
29949,6036850.403404384
29950,1795001.6718905915
29951,4332.265114470167
29952,3632.960402131177
29953,3809612.584560003
29954,6732999.719583698
29955,860602.7726024195
29956,3518.4190796079897
29957,5851230.762379127
29958,897849.9560625806
29959,3493858.5836715195
29960,765437.4319393976
29961,1952625.288550421
29962,1397337.9896282763
29963,3485.977532105289
29964,5544452.988578232
29965,2510180.215922005
29966,1087503.1848253377
29967,2509913.568047996
29968,644089.2133155087
29969,3165.4259952743278
29970,1315683.5172108198
29971,9286342.831472939
29972,1906761.776219526
29973,19218194.01703663
29974,3428.214331604704
29975,1395849.5183476955
